entryid,gridref,datestamp,transcription
"""57e5110a2c66dc43f4000967""","{""type"":""Point"",""coordinates"":[0.027852058410645,51.4757165597143]}","""2016-09-26T16:33:37.319+00:00""","[""WATLING STREET [ROMAN ROAD]"",""Watling Street"",""WATLING STREET""]"
"""57e511112c66dc43f4000969""","{""type"":""Point"",""coordinates"":[0.031156539916992,51.4769327431265]}","""2016-09-23T12:09:17.561+00:00""","[""Cherry Orchard"",""Cherry Orchard""]"
"""57e511192c66dc43f400096d""","{""type"":""Point"",""coordinates"":[0.02720832824707,51.4782290787521]}","""2016-09-23T12:08:49.834+00:00""","[""Rectory Field"",""Rectory Field""]"
"""57e5111e2c66dc43f400096f""","{""type"":""Point"",""coordinates"":[0.021457672119141,51.4787502754748]}","""2016-09-23T12:21:24.629+00:00""","[""Lodge"",""Lodge""]"
"""57e511252c66dc43f4000971""","{""type"":""Point"",""coordinates"":[0.016286373138428,51.4780687093316]}","""2016-09-23T17:24:18.01+00:00""","[""The Dignaries"",""The Dignaries""]"
"""57e5112c2c66dc43f4000973""","{""type"":""Point"",""coordinates"":[0.015213489532471,51.4798060146875]}","""2016-09-23T14:12:31.254+00:00""","[""Woodlands"",""Woodlands""]"
"""57e511372c66dc43f4000978""","{""type"":""Point"",""coordinates"":[0.010557174682617,51.478843822974]}","""2016-09-25T23:20:36.032+00:00""","[""WESTCOMBE PARK ROAD"",""WESTCOMBE PARK ROAD""]"
"""57e511412c66dc43f400097e""","{""type"":""Point"",""coordinates"":[0.013968944549561,51.476772369148]}","""2016-09-29T10:04:41.867+00:00""","[""VANBRUGH PARK"",""VANBURGH PARK"",""Vanbrugh Park""]"
"""57e5114f2c66dc43f4000980""","{""type"":""Point"",""coordinates"":[0.020577907562256,51.4759571260388]}","""2016-09-29T10:05:22.268+00:00""","[""ST. JOHN'S PARK"",""St. John's Park""]"
"""57e511672c66dc43f400098c""","{""type"":""Point"",""coordinates"":[0.0209641456604,51.4701163517673]}","""2016-09-26T16:18:42.071+00:00""","[""Morden Grange"",""Morden Grange""]"
"""57e5116c2c66dc43f400098e""","{""type"":""Point"",""coordinates"":[0.021307468414307,51.4690603882744]}","""2016-10-03T15:45:51.249+00:00""","[""Stonefield"",""Stonefield""]"
