entryid,gridref,datestamp,transcription
57e510682c66dc43f400093b,SRID=4326;POINT(0.00201702117919922 51.4779484318961),2016-09-23 17:24:45.125+00,"{""Old Chestnut Tree"",""Old Chestnut Tree""}"
57e510772c66dc43f400093f,SRID=4326;POINT(-0.00133037567138672 51.473404385344),2016-09-24 19:03:11.265+00,"{""The Ranger's House"",""The Ranger's House""}"
57e510812c66dc43f4000945,SRID=4326;POINT(-0.00315427780151367 51.4746206304031),2016-09-24 19:02:39.781+00,"{""Macartney House"",""Macartney House""}"
57e510872c66dc43f4000947,SRID=4326;POINT(-0.00572919845581055 51.4759036669652),2016-09-24 19:02:27.071+00,"{Sch,Sch.}"
57e510922c66dc43f400094b,SRID=4326;POINT(0.00184535980224609 51.4795788323635),2016-09-23 17:25:07.099+00,"{""One Tree Hill"",""One Tree Hill""}"
57e5109a2c66dc43f4000951,SRID=4326;POINT(0.00251054763793945 51.4801000136622),2016-09-23 14:13:00.515+00,"{""Vanbrugh Castle"",""Vanbrugh Castle""}"
57e510a22c66dc43f4000953,SRID=4326;POINT(0.00553607940673828 51.4795120138176),2016-09-23 14:12:49.484+00,"{""Vanbrugh House"",""Vanbrugh House""}"
57e510ad2c66dc43f4000955,SRID=4326;POINT(0.0100851058959961 51.4764783487229),2016-09-25 05:27:47.278+00,"{""VANBRUGH PARK"",""VANBRUGH PARK""}"
57e510c02c66dc43f400095b,SRID=4326;POINT(0.0148916244506836 51.4752888831157),2016-09-26 16:14:19.014+00,"{""ST. JOHN'S PARK"",""ST JOHN'S PARK""}"
57e510c62c66dc43f400095d,SRID=4326;POINT(0.0180244445800781 51.4755428165797),2016-09-29 10:05:01.518+00,"{Ch.,Ch.}"
57e510cd2c66dc43f400095f,SRID=4326;POINT(0.0204062461853027 51.4753690727834),2016-09-29 10:05:10.932+00,"{Vicarage,Vicarage}"
57e510ef2c66dc43f4000961,SRID=4326;POINT(0.0268864631652832 51.4762912438293),2016-09-23 12:21:12.11+00,"{""St. John's School"",""St. John's School""}"
57e510fb2c66dc43f4000965,SRID=4326;POINT(0.0322723388671875 51.4742597698678),2016-09-23 12:09:56.592+00,"{Hospital,Hospital}"
57e5110a2c66dc43f4000967,SRID=4326;POINT(0.0278520584106445 51.4757165597143),2016-09-26 16:33:37.319+00,"{""WATLING STREET [ROMAN ROAD]"",""Watling Street"",""WATLING STREET""}"
57e511112c66dc43f4000969,SRID=4326;POINT(0.0311565399169922 51.4769327431265),2016-09-23 12:09:17.561+00,"{""Cherry Orchard"",""Cherry Orchard""}"
57e511192c66dc43f400096d,SRID=4326;POINT(0.0272083282470703 51.4782290787521),2016-09-23 12:08:49.834+00,"{""Rectory Field"",""Rectory Field""}"
57e5111e2c66dc43f400096f,SRID=4326;POINT(0.0214576721191406 51.4787502754748),2016-09-23 12:21:24.629+00,"{Lodge,Lodge}"
57e511252c66dc43f4000971,SRID=4326;POINT(0.0162863731384277 51.4780687093316),2016-09-23 17:24:18.01+00,"{""The Dignaries"",""The Dignaries""}"
57e5112c2c66dc43f4000973,SRID=4326;POINT(0.0152134895324707 51.4798060146875),2016-09-23 14:12:31.254+00,"{Woodlands,Woodlands}"
57e511372c66dc43f4000978,SRID=4326;POINT(0.0105571746826172 51.478843822974),2016-09-25 23:20:36.032+00,"{""WESTCOMBE PARK ROAD"",""WESTCOMBE PARK ROAD""}"
57e511412c66dc43f400097e,SRID=4326;POINT(0.0139689445495605 51.476772369148),2016-09-29 10:04:41.867+00,"{""VANBRUGH PARK"",""VANBURGH PARK"",""Vanbrugh Park""}"
57e5114f2c66dc43f4000980,SRID=4326;POINT(0.0205779075622559 51.4759571260388),2016-09-29 10:05:22.268+00,"{""ST. JOHN'S PARK"",""St. John's Park""}"
57e511672c66dc43f400098c,SRID=4326;POINT(0.0209641456604004 51.4701163517673),2016-09-26 16:18:42.071+00,"{""Morden Grange"",""Morden Grange""}"
57e5116c2c66dc43f400098e,SRID=4326;POINT(0.0213074684143066 51.4690603882744),2016-10-03 15:45:51.249+00,"{Stonefield,Stonefield}"
57e511712c66dc43f4000992,SRID=4326;POINT(0.0223159790039062 51.4696351562446),2016-09-26 16:18:28.475+00,"{Church,Church}"
57e511772c66dc43f4000994,SRID=4326;POINT(0.0227236747741699 51.467456346338),2016-10-01 15:54:21.798+00,"{""Park End"",""Park End""}"
57e511802c66dc43f400099a,SRID=4326;POINT(0.0200414657592773 51.4679910332491),2016-10-14 16:54:18.623+00,"{""Morden Plantation"",""Morden Plantation""}"
57e511882c66dc43f400099c,SRID=4326;POINT(0.017552375793457 51.4683519433721),2016-10-03 15:45:13.971+00,"{""MORDEN ROAD"",""Morden Road""}"
57e511932c66dc43f40009a2,SRID=4326;POINT(0.016329288482666 51.4682851083795),2016-10-14 16:54:25.841+00,"{Dunnolly,Dunolly,Dunolly}"
57e511a52c66dc43f40009a6,SRID=4326;POINT(0.0170588493347168 51.4690470214913),2016-11-04 15:51:42.757+00,"{""Morden College (Almshouses)"",""Morden Colle (Almshouses)""}"
57e511ac2c66dc43f40009a8,SRID=4326;POINT(0.0198912620544434 51.4693009897012),2016-10-03 15:45:43.907+00,"{Chapel,Chapel}"
57e512012c66dc43f40009d0,SRID=4326;POINT(0.0100851058959961 51.4684989800111),2016-09-25 05:35:22.001+00,"{Sch.,Sch.}"
57e512062c66dc43f40009d4,SRID=4326;POINT(0.0115227699279785 51.4715064436581),2016-09-25 05:31:50.707+00,"{F.P.,F.P.}"
57e512202c66dc43f40009da,SRID=4326;POINT(0.00547170639038086 51.4720678149154),2016-09-25 05:44:47.673+00,"{""Union & Parly. Boro. By."",""Union & Parly. Boro. By.""}"
57e512292c66dc43f40009de,SRID=4326;POINT(0.000901222229003906 51.4720678149154),2016-09-25 05:28:10.184+00,"{Lodge,Lodge}"
57e512332c66dc43f40009e4,SRID=4326;POINT(0.00995635986328125 51.469528223217),2016-09-25 05:32:25.376+00,"{G.P,G.P}"
57e5123a2c66dc43f40009e8,SRID=4326;POINT(0.0115656852722168 51.4703703140249),2016-09-25 05:40:18.967+00,"{D.Fn,D.Fn}"
57e512462c66dc43f40009ec,SRID=4326;POINT(0.014805793762207 51.4680578686725),2016-10-14 16:54:29.672+00,"{B.S,B.Ss,BSs}"
57e512782c66dc43f40009f8,SRID=4326;POINT(0.0229597091674805 51.4744335178893),2016-09-29 10:08:07.029+00,"{""SHOOTERS HILL ROAD"",""SHOOTERS HILL"",""Shooters Hill""}"
